제품범주2,플랜트,제조일자,중분류(보정),count
비비고 왕교자,인천냉동식품,2021-06-01,형태,1
비비고 왕교자,인천냉동식품,2021-06-01,식물성이물,1
비비고 왕교자,인천냉동식품,2021-06-01,합성수지류,1
편의형만두,인천냉동식품,2021-06-01,합성수지류,1
일반 국물 삼계,정다운(자연일가),2021-06-01,인체이물류,1
꼬지형,진천)육가공,2021-06-01,기타이물류,1
김밥햄,진천)육가공,2021-06-01,기타변질,1
후랑크,진천)육가공,2021-06-01,기타이물류,1
후랑크,진천)육가공,2021-06-01,기타이물류,1
스팸일반,진천)육가공,2021-06-01,인체이물류,1
스팸일반,진천)육가공,2021-06-01,포장불량,1
비비고 한식반찬,진천BC,2021-06-01,동물성이물,1
중식프라잉,진천BC,2021-06-01,기타이물류,1
스팸냉동밥,진천BC,2021-06-01,포장불량,1
맛간식,하북율원식품,2021-06-01,관능,1
비비고성형밥(OEM),한우물 영농조합,2021-06-01,인체이물류,1
햇반 성형밥(OEM),한우물 영농조합,2021-06-01,포장불량,1
쌈장가정용,공주공장,2021-06-02,인체이물류,1
쌈장가정용,공주공장,2021-06-02,기타,1
냉면,남원공장,2021-06-02,공정이물류,1
손만두,남원공장,2021-06-02,합성수지류,1
냉면,남원공장,2021-06-02,관능,1
요리소스,논산1공장,2021-06-02,공정이물류,1
비비고 죽 프리미엄(파우치),부산공장,2021-06-02,합성수지류,1
치킨,상신(2공장),2021-06-02,동물성이물,1
삼호어묵,씨푸드_성남,2021-06-02,기타이물류,1
국판조미김,씨푸드_이천,2021-06-02,식물성이물,1
비비고 왕교자,인천냉동식품,2021-06-02,합성수지류,1
비비고 왕교자,인천냉동식품,2021-06-02,형태,1
비비고 왕교자,인천냉동식품,2021-06-02,공정이물류,1
비비고 왕교자,인천냉동식품,2021-06-02,기타,1
비비고 수제만두,인천냉동식품,2021-06-02,합성수지류,1
비비고 왕교자,인천냉동식품,2021-06-02,공정이물류,1
비비고 왕교자,인천냉동식품,2021-06-02,관능,1
FV _ OEM,진천B2B생산,2021-06-02,합성수지류,1
FV _ OEM,진천B2B생산,2021-06-02,합성수지류,1
후랑크,진천)육가공,2021-06-02,동물성이물,1
비비고일반,진천BC,2021-06-02,기타,1
백미,진천BC,2021-06-02,인체이물류,1
양식반찬,진천BC,2021-06-02,동물성이물,1
양식반찬,진천BC,2021-06-02,기타이물류,1
비비고 죽(용기),진천BC,2021-06-02,식물성이물,1
비비고 한식반찬,진천BC,2021-06-02,동물성이물,1
꼬지형,하이푸드텍,2021-06-02,합성수지류,1
쿠킹믹스,한국에스비식품,2021-06-02,벌레류,1
남원B2C냉동면,남원공장,2021-06-03,벌레류,1
일반 국물,동방푸드마스타(HMR),2021-06-03,합성수지류,1
백미,부산공장,2021-06-03,편의,1
비비고 죽 프리미엄(파우치),부산공장,2021-06-03,식물성이물,1
백미,부산공장,2021-06-03,미생물,1
국판삼해김,삼해상사(김포),2021-06-03,포장불량,1
까스류,상신(2공장),2021-06-03,형태,1
꼬지형,소디프,2021-06-03,인체이물류,1
미니소시지,신라에스지,2021-06-03,기타이물류,1
비비고별미김치,싱그람,2021-06-03,인체이물류,1
베이커리,우양냉동(청양_냉동),2021-06-03,공정이물류,1
베이커리,우양냉동(청양_냉동),2021-06-03,공정이물류,1
고소함가득참기름,인천2)유,2021-06-03,편의,1
비비고 왕교자,인천냉동식품,2021-06-03,인체이물류,1
비비고 왕교자,인천냉동식품,2021-06-03,합성수지류,1
홍인마,진안공장,2021-06-03,중량수량미달,1
김밥햄,진천)육가공,2021-06-03,공정이물류,1
스팸일반,진천)육가공,2021-06-03,포장불량,1
비엔나,진천BC,2021-06-03,관능,1
비비고별미김치,진천BC,2021-06-03,인체이물류,1
비비고 죽(용기),진천BC,2021-06-03,합성수지류,1
비비고 한식반찬,진천BC,2021-06-03,동물성이물,1
치킨,진천BC,2021-06-03,기타,1
일반 국물,교동,2021-06-04,합성수지류,1
일반 국물,교동,2021-06-04,합성수지류,1
상온 안주일품요리,교동,2021-06-04,인체이물류,1
상온 안주일품요리,교동,2021-06-04,관능,1
잡곡,부산공장,2021-06-04,미생물,1
국판조미김,씨푸드_이천,2021-06-04,기타이물류,1
비비고 왕교자,인천냉동식품,2021-06-04,형태,1
슬라이스,진천)육가공,2021-06-04,공정이물류,1
스팸일반,진천)육가공,2021-06-04,포장불량,1
우동,남원공장,2021-06-05,관능,1
고추장가정용,논산1공장,2021-06-05,인체이물류,1
일반 국물,논산1공장,2021-06-05,식물성이물,1
1급중력밀가루,양산공장,2021-06-05,기타이물류,1
더건강한 닭가슴살,진천)육가공,2021-06-05,동물성이물,1
더건강한 닭가슴살,진천)육가공,2021-06-05,합성수지류,1
더건강한 닭가슴살,진천)육가공,2021-06-05,합성수지류,1
스팸일반,진천)육가공,2021-06-05,동물성이물,1
스팸일반,진천)육가공,2021-06-05,편의,1
더건강한 닭가슴살,진천BC,2021-06-05,기타이물류,1
B2B고메(반찬류),진천BC,2021-06-05,기타,1
까스류,진천BC,2021-06-05,공정이물류,1
냉면,남원공장,2021-06-06,포장불량,1
냉면,남원공장,2021-06-06,공정이물류,1
냉면,남원공장,2021-06-06,관능,1
B2B맨밥,진천BC,2021-06-06,기타이물류,1
B2B까스류,C&S (제당),2021-06-07,인체이물류,1
남원B2C냉동면,남원공장,2021-06-07,합성수지류,1
프리미엄 국물 사골,논산1공장,2021-06-07,기타이물류,1
콩가공,씨푸드_성남,2021-06-07,인체이물류,1
손만두,인천냉동식품,2021-06-07,기타이물류,1
손만두,인천냉동식품,2021-06-07,동물성이물,1
워터젤리,진안공장,2021-06-07,기타,1
국산콩두부,진천)두부,2021-06-07,형태,1
후랑크,진천)육가공,2021-06-07,합성수지류,1
성형햄,진천)육가공,2021-06-07,동물성이물,1
중식프라잉,진천BC,2021-06-07,공정이물류,1
비비고일반,진천BC,2021-06-07,포장불량,1
비비고 한식반찬,진천BC,2021-06-07,합성수지류,1
B2B맨밥,진천BC,2021-06-07,관능,1
꼬지형,하이푸드텍,2021-06-07,기타,1
된장업소용,공주공장,2021-06-08,변화,1
용기면,남원공장,2021-06-08,치명,1
일반 국물,동방푸드마스타(HMR),2021-06-08,인체이물류,1
하선정절임류,두메,2021-06-08,포장불량,1
백미,부산공장,2021-06-08,미생물,1
백미,부산공장,2021-06-08,미생물,1
국판조미김,씨푸드_이천,2021-06-08,기타,1
국판조미김,씨푸드_이천,2021-06-08,식물성이물,1
베이커리,우양냉동(청양_냉동),2021-06-08,인체이물류,1
비비고 왕교자,인천냉동식품,2021-06-08,인체이물류,1
비비고 왕교자,인천냉동식품,2021-06-08,인체이물류,1
비비고 왕교자,인천냉동식품,2021-06-08,공정이물류,1
일반 국물,진천B2B생산,2021-06-08,성분,1
베이컨,진천)육가공,2021-06-08,기타,1
미니소시지,진천)육가공,2021-06-08,동물성이물,1
슬라이스,진천)육가공,2021-06-08,인체이물류,1
스팸일반,진천)육가공,2021-06-08,기타이물류,1
중식프라잉,진천BC,2021-06-08,합성수지류,1
비비고 한식반찬,진천BC,2021-06-08,동물성이물,1
비비고 한식반찬,진천BC,2021-06-08,합성수지류,1
백미,진천BC,2021-06-08,변화,1
일반 한식반찬,진천BC,2021-06-08,동물성이물,1
B2B튀김류,C&S (제당),2021-06-09,동물성이물,1
비비고별미김치,경기농협 북파주,2021-06-09,합성수지류,1
남원B2C냉동면,남원공장,2021-06-09,포장불량,1
남원B2C냉동면,남원공장,2021-06-09,포장불량,1
남원B2C냉동면,남원공장,2021-06-09,제품,1
비비고별미김치,동방푸드마스타(김치),2021-06-09,인체이물류,1
백미,부산공장,2021-06-09,변화,1
스팸냉동밥,선양,2021-06-09,동물성이물,1
꼬지형,소디프,2021-06-09,포장불량,1
미니소시지,신라에스지,2021-06-09,인체이물류,1
과일젤리,쌍인,2021-06-09,식물성이물,1
국판조미김,씨푸드_이천,2021-06-09,형태,1
국판조미김,씨푸드_이천,2021-06-09,동물성이물,1
비비고 왕교자,인천냉동식품,2021-06-09,기타이물류,1
비비고 왕교자,인천냉동식품,2021-06-09,관능,1
비비고 왕교자,인천냉동식품,2021-06-09,인체이물류,1
비비고썰은김치,진천BC,2021-06-09,변화,1
비비고 한식반찬,진천BC,2021-06-09,동물성이물,1
비비고별미김치,진천BC,2021-06-09,인체이물류,1
비비고 한식반찬,진천BC,2021-06-09,동물성이물,1
비비고 한식반찬,진천BC,2021-06-09,동물성이물,1
백미,진천BC,2021-06-09,기타이물류,1
비비고성형밥(OEM),한우물 영농조합,2021-06-09,합성수지류,1
된장업소용,공주공장,2021-06-10,기타이물류,1
용기면,남원공장,2021-06-10,기타이물류,1
남원B2C냉동면,남원공장,2021-06-10,합성수지류,1
비비고별미김치,동방푸드마스타(김치),2021-06-10,중량수량미달,1
비비고 왕교자,인천냉동식품,2021-06-10,기타이물류,1
비비고 왕교자,인천냉동식품,2021-06-10,인체이물류,1
비비고 왕교자,인천냉동식품,2021-06-10,공정이물류,1
손만두,인천냉동식품,2021-06-10,동물성이물,1
비비고 수제만두,인천냉동식품,2021-06-10,합성수지류,1
비비고 왕교자,인천냉동식품,2021-06-10,형태,1
스팸일반,진천)육가공,2021-06-10,동물성이물,1
스팸일반,진천)육가공,2021-06-10,합성수지류,1
스팸일반,진천)육가공,2021-06-10,합성수지류,1
스팸,진천)육가공,2021-06-10,동물성이물,1
스팸일반,진천)육가공,2021-06-10,포장불량,1
비비고썰은김치,진천BC,2021-06-10,합성수지류,1
비비고일반,진천BC,2021-06-10,포장불량,1
백미,진천BC,2021-06-10,미생물,1
비비고 수제만두,푸드웨어,2021-06-10,인체이물류,1
햇반 성형밥(OEM),한우물 영농조합,2021-06-10,공정이물류,1
쌈장가정용,공주공장,2021-06-11,인체이물류,1
쌈장가정용,공주공장,2021-06-11,기타이물류,1
하선정절임류,꿈터식품,2021-06-11,성분,1
B2B까스류,상신(1공장),2021-06-11,형태,1
미니소시지,신라에스지,2021-06-11,관능,1
삼호어묵,씨푸드_성남,2021-06-11,공정이물류,1
국판조미김,씨푸드_이천,2021-06-11,동물성이물,1
튀김부침용,양산공장,2021-06-11,기타이물류,1
쿠킹믹스,양산공장,2021-06-11,인체이물류,1
핫도그,우양냉동(장항),2021-06-11,기타,1
고소함가득참기름,인천2)유,2021-06-11,성분,1
물만두,인천냉동식품,2021-06-11,공정이물류,1
비비고 왕교자,인천냉동식품,2021-06-11,인체이물류,1
비비고 왕교자,인천냉동식품,2021-06-11,인체이물류,1
후랑크,진천)육가공,2021-06-11,관능,1
스팸일반,진천)육가공,2021-06-11,포장불량,1
스팸일반,진천)육가공,2021-06-11,포장불량,1
스팸일반,진천)육가공,2021-06-11,포장불량,1
가정용김치,진천BC,2021-06-11,식물성이물,1
치킨,진천BC,2021-06-11,공정이물류,1
비비고 한식반찬,진천BC,2021-06-11,동물성이물,1
비비고 한식반찬,진천BC,2021-06-11,동물성이물,1
일반 국물,논산1공장,2021-06-12,인체이물류,1
일반국밥,부산공장,2021-06-12,인체이물류,1
당면,사수리풍,2021-06-12,기타이물류,1
당면,사수리풍,2021-06-12,공정이물류,1
국판당 소물,인천1)당,2021-06-12,관능,1
고소함가득참기름,인천2)유,2021-06-12,성분,1
스팸일반,진천)육가공,2021-06-12,합성수지류,1
치킨,진천BC,2021-06-12,동물성이물,1
치킨,진천BC,2021-06-12,동물성이물,1
B2B치킨류,진천BC,2021-06-12,합성수지류,1
수입콩두부,동화식품,2021-06-13,기타,1
일반국밥,부산공장,2021-06-13,관능,1
일반덮밥,부산공장,2021-06-13,기타이물류,1
프리미엄덮밥,부산공장,2021-06-13,기타이물류,1
프리미엄덮밥,부산공장,2021-06-13,동물성이물,1
Big컵반,부산공장,2021-06-13,식물성이물,1
프리미엄덮밥,부산공장,2021-06-13,합성수지류,1
핫도그,우양냉동(장항),2021-06-13,공정이물류,1
후랑크,진천BC,2021-06-13,공정이물류,1
고메피자(프리미엄),진천BC,2021-06-13,식물성이물,1
치킨,진천BC,2021-06-13,동물성이물,1
