rank,series_id,ews_score,level,f1_ratio,f2_conf,f3_season,f4_ampl,f5_inflect,candidate,rationale
56,인천냉동식품|비비고 왕교자|기타변질,0.8139661795451671,HIGH,1.4880990583979,0.6524621103242938,0.5979665689315609,1.0,0.445435403187374,True,큰진폭1.00
57,인천냉동식품|비비고 수제만두|합성수지류,0.8136794014984754,HIGH,1.8359866431534102,0.5370931973079527,0.5202311868887771,1.0,0.29924368602483664,True,증가율1.8x; 큰진폭1.00
58,논산1공장|파스타소스|곰팡이,0.8132023324481984,HIGH,2.3492329715265674,0.5,0.20818012901796729,1.0,0.2795084971874737,False,증가율2.3x; 큰진폭1.00
59,진천BC|비비고별미김치|기타,0.8084649852600436,HIGH,1.804031079371355,0.8987125342800518,0.3768356572938835,1.0,0.24900596027799868,False,증가율1.8x; 큰진폭1.00
60,탕산율원식품|맛간식|맛,0.8017670701705597,HIGH,2.5650327752228885,0.5040377186909393,0.034834098842893596,1.0,0.2635231383473649,False,증가율2.6x; 큰진폭1.00
61,남원공장|냉면|포장불량,0.7988187210375584,HIGH,1.716086564854662,0.7661444305080093,0.5064351019193937,1.0,0.19374606457303212,True,증가율1.7x; 큰진폭1.00
62,진천BC|일반 국물 사골|벌레류,0.7926693782887299,HIGH,1.937769911835403,0.5,0.09136922750725412,1.0,0.7635231383473648,False,증가율1.9x; 큰진폭1.00; 변곡위험0.76
63,진천)육가공|더건강한 닭가슴살|팽창,0.7907587780025107,HIGH,2.1338380114935087,0.6289145863606244,0.1720420200191271,1.0,0.3402069087198858,False,증가율2.1x; 큰진폭1.00
64,논산1공장|파스타소스|기타변질,0.7905809799917497,HIGH,2.1891197013416535,0.5380807975010937,0.1583644028275401,1.0,0.37267799624996495,False,증가율2.2x; 큰진폭1.00
65,공주공장|된장가정용|변화,0.7876259764573883,HIGH,1.9297686024198064,0.6497922387832431,0.2362336227420239,1.0,0.4166666666666666,False,증가율1.9x; 큰진폭1.00
66,진천)두부|순두부|포장불량,0.7867039928795172,LOW_CONF,2.3652855411367635,0.0,0.0,1.0,0.8182344232608222,False,증가율2.4x; 큰진폭1.00; 변곡위험0.82; 낮은신뢰도0.00
67,부산공장|백미|팽창,0.785614190639905,HIGH,1.9182202360164515,0.6665647812138227,0.33911178497193556,1.0,0.251259453814803,False,증가율1.9x; 큰진폭1.00
68,진천BC|볶음밥|합성수지류,0.7852514436386155,HIGH,1.8423983930312764,0.7885408574032509,0.3890285003789542,1.0,0.15891043154093204,False,증가율1.8x; 큰진폭1.00
69,부산공장|일반국밥|기타변질,0.7834406513172412,HIGH,2.0998134381465032,0.5211466942155916,0.27533777295376266,1.0,0.2635231383473649,False,증가율2.1x; 큰진폭1.00
70,진천BC|죽(용기)|기타이물류,0.7818864310476035,HIGH,1.7430401609157855,0.5,0.18524590398324436,1.0,0.7635231383473648,False,증가율1.7x; 큰진폭1.00; 변곡위험0.76
71,진천BC|백미|향(냄새),0.7814030013638311,HIGH,1.987387546185484,0.7531693425857617,0.24005024148659393,1.0,0.2446750914644598,False,증가율2.0x; 큰진폭1.00
72,진천BC|비엔나|합성수지류,0.7795565097035705,HIGH,1.2216648320903813,0.819339125609309,0.2926235839803498,1.0,0.8726779962499649,False,큰진폭1.00; 변곡위험0.87
73,푸드웨어|비비고 수제만두|합성수지류,0.776899552220829,HIGH,1.8259081896011544,0.7786096188566529,0.23946101065504796,1.0,0.3654408413779288,False,증가율1.8x; 큰진폭1.00
74,부산공장|백미|미생물,0.7755114906191862,HIGH,2.086806146116717,0.4915078560567814,0.2981065197358027,1.0,0.22496063533292376,False,증가율2.1x; 큰진폭1.00
75,인천냉동식품|비비고 왕교자|기타,0.7747623553700247,HIGH,1.6997071783843065,0.5962072927180468,0.4484392128014596,1.0,0.3042903097250923,True,증가율1.7x; 큰진폭1.00
76,교동(HMR)_1공장|일반 국물|벌레류,0.7721935638327734,HIGH,1.5442966509057365,0.8117873070434509,0.44799980849201815,1.0,0.2858309752375148,True,증가율1.5x; 큰진폭1.00
77,진천BC|백미|토사류,0.7690171781979862,HIGH,1.926813151567635,0.6908732534177286,0.15563408846155488,1.0,0.4166666666666666,False,증가율1.9x; 큰진폭1.00
78,진천BC|완자류|변화,0.7668640570867488,HIGH,2.0239939347937916,0.8186530545785542,0.0796508896504867,1.0,0.3268602252303067,False,증가율2.0x; 큰진폭1.00
79,교동(HMR)_1공장|일반 국물|기타변질,0.7658722504601716,HIGH,1.8492079653221947,0.6562249329424357,0.3663599979404896,1.0,0.18844459036110228,False,증가율1.8x; 큰진폭1.00
80,씨푸드_성남|냉장 생선구이|기타,0.7641408314574847,HIGH,1.8222826765946478,0.5281662533766873,0.17881349217981973,1.0,0.5840765523905305,False,증가율1.8x; 큰진폭1.00; 변곡위험0.58
81,진천)육가공|미트편의식|기타이물류,0.7639637983771763,HIGH,2.335813826052688,0.5,0.06365468499055253,1.0,0.2635231383473649,False,증가율2.3x; 큰진폭1.00
82,공주공장|된장가정용|기타,0.7610183126031338,LOW_CONF,2.8913075423053547,0.0,0.10918934714020961,1.0,0.0,False,증가율2.9x; 큰진폭1.00; 낮은신뢰도0.00
83,진천BC|백미|변화,0.7607532954839709,HIGH,1.45333156126136,0.3674736961168731,0.65401504132305,1.0,0.3438070820862644,True,강한계절성0.65; 큰진폭1.00
84,진천BC|프리미엄피자(BC)|합성수지류,0.7604327330967146,LOW_CONF,2.317680171565171,0.0,0.15632232927893444,1.0,0.5,False,증가율2.3x; 큰진폭1.00; 변곡위험0.50; 낮은신뢰도0.00
85,진천BC|치킨|색상,0.7599372885413942,HIGH,1.6968881217967382,0.6708064415032173,0.042575009696869955,1.0,0.7858309752375148,False,증가율1.7x; 큰진폭1.00; 변곡위험0.79
86,논산1공장|프리미엄 국물|벌레류,0.758856544953328,HIGH,1.4245395986735838,0.976086349881054,0.31400779801039896,1.0,0.4166666666666666,False,큰진폭1.00
87,인천2)유|고소함가득참기름|편의,0.7581565409206363,HIGH,1.9653145350061227,0.5,0.1892010019535947,1.0,0.4166666666666666,False,증가율2.0x; 큰진폭1.00
88,공주공장|쌈장가정용|변화,0.7530612025554826,LOW_CONF,1.9146765985937755,0.0,0.4559751650113139,1.0,0.4166666666666666,True,증가율1.9x; 큰진폭1.00; 낮은신뢰도0.00
89,삼해상사(김포)|국판삼해김|포장불량,0.7520269657057219,HIGH,1.381093296942049,0.8720191243207451,0.4582768783521587,1.0,0.2876118708177639,True,큰진폭1.00
90,진천)육가공|베이컨|기타,0.7505986991200952,LOW_CONF,2.3973992288971187,0.0,0.22804741890399471,1.0,0.2635231383473649,False,증가율2.4x; 큰진폭1.00; 낮은신뢰도0.00
91,진천)육가공|더건강한 닭가슴살|합성수지류,0.7495445229628228,HIGH,2.027136677153352,0.6046886074477984,0.20582409916105335,1.0,0.20833333333333334,False,증가율2.0x; 큰진폭1.00
92,진천BC|B2B패티류|동물성이물,0.7480531191734235,LOW_CONF,2.213064127345695,0.0,0.18480097901428172,1.0,0.5,False,증가율2.2x; 큰진폭1.00; 변곡위험0.50; 낮은신뢰도0.00
93,진천)육가공|후랑크|기타이물류,0.7461368680562912,HIGH,2.2445517456536783,0.5,0.05441606496020254,1.0,0.2795084971874737,False,증가율2.2x; 큰진폭1.00
94,뚜또|과일젤리|곰팡이,0.7423136804909581,HIGH,1.8694557939085263,0.6286986094932651,0.1869211618042864,1.0,0.3402069087198858,False,증가율1.9x; 큰진폭1.00
95,꿈꾸는콩|수입콩두부|포장불량,0.74098414304041,LOW_CONF,2.293627155649718,0.14851336560455908,0.13980108441935182,1.0,0.3402069087198858,False,증가율2.3x; 큰진폭1.00; 낮은신뢰도0.15
96,진천BC|더건강한 닭가슴살|팽창,0.7369134935363313,HIGH,2.178872226417213,0.37635158914770817,0.1517966372081109,1.0,0.24573659359149516,False,증가율2.2x; 큰진폭1.00
97,진천)육가공|B2C 스팸단품|공정이물류,0.7332156426640825,HIGH,1.6758000755854858,0.649574283306214,0.353369567105924,1.0,0.2230430745963795,False,증가율1.7x; 큰진폭1.00
98,논산1공장|고추장가정용|맛,0.7320630324731037,HIGH,1.7249152671621206,0.7711950829267235,0.12689127756112564,1.0,0.4166666666666666,False,증가율1.7x; 큰진폭1.00
99,신라에스지|미니소시지|곰팡이,0.731726593968007,HIGH,1.512910509809155,0.5619664155425395,0.5046646240825896,1.0,0.21725071225009038,True,증가율1.5x; 큰진폭1.00
100,우양냉동(장항)|핫도그|포장불량,0.7316505600217206,HIGH,2.3295987976381634,0.20208811856150477,0.18512289158834064,1.0,0.1494035761667992,False,증가율2.3x; 큰진폭1.00
101,양산공장|고급밀가루|벌레류,0.7286947803554786,HIGH,1.993212581277799,0.5,0.17449212143481924,1.0,0.2635231383473649,False,증가율2.0x; 큰진폭1.00
