series_id,status,n_obs,aic,bic,path
C&S (제당)|핫도그|포장오류,success,159,-2014.3586069615046,-2001.088805210717,artifacts\models\base_2021_2023\C&S (제당)_핫도그_포장오류.pkl
C&S (제당)|핫도그|합성수지류,success,159,-107.9082905660926,-94.63848881530498,artifacts\models\base_2021_2023\C&S (제당)_핫도그_합성수지류.pkl
REY PASTIFICIO|파스타|합성수지류,success,159,-180.68874424466242,-167.4189424938748,artifacts\models\base_2021_2023\REY PASTIFICIO_파스타_합성수지류.pkl
SFS|(미사용)비비고볶음|벌레류,success,159,-180.68874424466745,-167.41894249387983,artifacts\models\base_2021_2023\SFS_(미사용)비비고볶음_벌레류.pkl
REY PASTIFICIO|파스타|인체이물류,success,159,-2014.3586069615046,-2001.088805210717,artifacts\models\base_2021_2023\REY PASTIFICIO_파스타_인체이물류.pkl
REY PASTIFICIO|파스타|포장불량,success,159,-2014.358573383717,-2001.0887716329294,artifacts\models\base_2021_2023\REY PASTIFICIO_파스타_포장불량.pkl
SFS|(미사용)비비고볶음|식물성이물,success,159,-180.68874424466745,-167.41894249387983,artifacts\models\base_2021_2023\SFS_(미사용)비비고볶음_식물성이물.pkl
SFS|비비고볶음|동물성이물,success,159,-180.6887442446624,-167.41894249387477,artifacts\models\base_2021_2023\SFS_비비고볶음_동물성이물.pkl
SFS|비비고볶음|인체이물류,success,159,-180.68874424466756,-167.41894249387994,artifacts\models\base_2021_2023\SFS_비비고볶음_인체이물류.pkl
REY PASTIFICIO|파스타|공정이물류,success,159,-2399.1409878937593,-2385.8711861429715,artifacts\models\base_2021_2023\REY PASTIFICIO_파스타_공정이물류.pkl
가원|허브맛솔트가정용|향(냄새),success,159,-180.6887442446675,-167.41894249387988,artifacts\models\base_2021_2023\가원_허브맛솔트가정용_향(냄새).pkl
SFS|비비고볶음|기타이물류,success,159,-196.05367348122272,-182.7838717304351,artifacts\models\base_2021_2023\SFS_비비고볶음_기타이물류.pkl
SFS|비비고볶음|합성수지류,success,159,-35.127836794568815,-21.8580350437812,artifacts\models\base_2021_2023\SFS_비비고볶음_합성수지류.pkl
경기농협 북파주|가정용김치|기타,success,159,-180.6887442446623,-167.41894249387468,artifacts\models\base_2021_2023\경기농협 북파주_가정용김치_기타.pkl
경기농협 북파주|가정용김치|기타이물류,success,159,-2014.3586069615046,-2001.088805210717,artifacts\models\base_2021_2023\경기농협 북파주_가정용김치_기타이물류.pkl
경기농협 북파주|가정용김치|성분,success,159,-180.68874474489235,-167.41894299410473,artifacts\models\base_2021_2023\경기농협 북파주_가정용김치_성분.pkl
경기농협 북파주|가정용김치|식물성이물,success,159,-2014.3586069615046,-2001.088805210717,artifacts\models\base_2021_2023\경기농협 북파주_가정용김치_식물성이물.pkl
경기농협 북파주|가정용김치|포장불량,success,159,-2014.3586069615046,-2001.088805210717,artifacts\models\base_2021_2023\경기농협 북파주_가정용김치_포장불량.pkl
경기농협 북파주|비비고별미김치|관능,success,159,-65.33445364560558,-52.06465189481796,artifacts\models\base_2021_2023\경기농협 북파주_비비고별미김치_관능.pkl
경기농협 북파주|가정용김치|합성수지류,success,159,-2014.3586069615046,-2001.088805210717,artifacts\models\base_2021_2023\경기농협 북파주_가정용김치_합성수지류.pkl
경기농협 북파주|비비고별미김치|기타,success,159,-2014.3586069615046,-2001.088805210717,artifacts\models\base_2021_2023\경기농협 북파주_비비고별미김치_기타.pkl
경기농협 북파주|비비고별미김치|벌레류,success,159,-180.6887447448923,-167.41894299410467,artifacts\models\base_2021_2023\경기농협 북파주_비비고별미김치_벌레류.pkl
경기농협 북파주|비비고별미김치|기타이물류,success,159,-1921.9709286366383,-1908.7011268858507,artifacts\models\base_2021_2023\경기농협 북파주_비비고별미김치_기타이물류.pkl
경기농협 북파주|비비고별미김치|식물성이물,success,159,-107.90829055904325,-94.63848880825563,artifacts\models\base_2021_2023\경기농협 북파주_비비고별미김치_식물성이물.pkl
경기농협 북파주|비비고별미김치|합성수지류,success,159,-107.90829083343834,-94.63848908265072,artifacts\models\base_2021_2023\경기농협 북파주_비비고별미김치_합성수지류.pkl
경기농협 북파주|비비고썰은김치|합성수지류,success,159,-180.6887442446624,-167.41894249387477,artifacts\models\base_2021_2023\경기농협 북파주_비비고썰은김치_합성수지류.pkl
경기농협 북파주|비비고별미김치|포장불량,success,159,-2014.3586069615046,-2001.088805210717,artifacts\models\base_2021_2023\경기농협 북파주_비비고별미김치_포장불량.pkl
경기농협 북파주|비비고썰은김치|변화,success,159,-2014.3586069615046,-2001.088805210717,artifacts\models\base_2021_2023\경기농협 북파주_비비고썰은김치_변화.pkl
경기농협 화성|가정용김치|기타,success,159,-180.6887442446624,-167.41894249387477,artifacts\models\base_2021_2023\경기농협 화성_가정용김치_기타.pkl
경기농협 북파주|비비고별미김치|인체이물류,success,159,-115.00621487704694,-101.73641312625932,artifacts\models\base_2021_2023\경기농협 북파주_비비고별미김치_인체이물류.pkl
경기농협 화성|가정용김치|기타이물류,success,159,-180.68874442954728,-167.41894267875966,artifacts\models\base_2021_2023\경기농협 화성_가정용김치_기타이물류.pkl
경기농협 화성|가정용김치|성분,success,159,-2014.3586069615046,-2001.088805210717,artifacts\models\base_2021_2023\경기농협 화성_가정용김치_성분.pkl
경기농협 화성|가정용김치|식물성이물,success,159,-2014.3586069615046,-2001.088805210717,artifacts\models\base_2021_2023\경기농협 화성_가정용김치_식물성이물.pkl
경기농협 화성|가정용김치|인체이물류,success,159,-2014.3586069615046,-2001.088805210717,artifacts\models\base_2021_2023\경기농협 화성_가정용김치_인체이물류.pkl
경기농협 화성|가정용김치|합성수지류,success,159,-180.6887442446624,-167.41894249387477,artifacts\models\base_2021_2023\경기농협 화성_가정용김치_합성수지류.pkl
경기농협 화성|비비고별미김치|기타이물류,success,159,-107.90829055904325,-94.63848880825563,artifacts\models\base_2021_2023\경기농협 화성_비비고별미김치_기타이물류.pkl
경기농협 화성|비비고별미김치|기타,success,159,-180.68874442955808,-167.41894267877046,artifacts\models\base_2021_2023\경기농협 화성_비비고별미김치_기타.pkl
경기농협 화성|비비고별미김치|관능,success,159,-2014.3586069615046,-2001.088805210717,artifacts\models\base_2021_2023\경기농협 화성_비비고별미김치_관능.pkl
경기농협 화성|가정용김치|포장불량,success,159,-2362.121517382739,-2348.8517156319513,artifacts\models\base_2021_2023\경기농협 화성_가정용김치_포장불량.pkl
경기농협 화성|비비고별미김치|식물성이물,success,159,-2014.3586069615046,-2001.088805210717,artifacts\models\base_2021_2023\경기농협 화성_비비고별미김치_식물성이물.pkl
경기농협 화성|비비고별미김치|성분,success,159,-2014.3586069615046,-2001.088805210717,artifacts\models\base_2021_2023\경기농협 화성_비비고별미김치_성분.pkl
경기농협 화성|비비고별미김치|인체이물류,success,159,-180.68874442955808,-167.41894267877046,artifacts\models\base_2021_2023\경기농협 화성_비비고별미김치_인체이물류.pkl
경기농협 화성|비비고별미김치|포장불량,success,159,-2014.3586069615046,-2001.088805210717,artifacts\models\base_2021_2023\경기농협 화성_비비고별미김치_포장불량.pkl
경기농협 화성|비비고썰은김치|관능,success,159,-2014.3586069615046,-2001.088805210717,artifacts\models\base_2021_2023\경기농협 화성_비비고썰은김치_관능.pkl
경기농협 화성|비비고별미김치|합성수지류,success,159,-2362.121517382137,-2348.851715631349,artifacts\models\base_2021_2023\경기농협 화성_비비고별미김치_합성수지류.pkl
경기농협 화성|비비고썰은김치|기타이물류,success,159,-180.68874474489232,-167.4189429941047,artifacts\models\base_2021_2023\경기농협 화성_비비고썰은김치_기타이물류.pkl
경기농협 화성|비비고썰은김치|벌레류,success,159,-2014.3586069615046,-2001.088805210717,artifacts\models\base_2021_2023\경기농협 화성_비비고썰은김치_벌레류.pkl
경기농협 화성|비비고썰은김치|인체이물류,success,159,-180.68874442955808,-167.41894267877046,artifacts\models\base_2021_2023\경기농협 화성_비비고썰은김치_인체이물류.pkl
경기농협 화성|비비고썰은김치|합성수지류,success,159,-107.90829055939166,-94.63848880860405,artifacts\models\base_2021_2023\경기농협 화성_비비고썰은김치_합성수지류.pkl
경기농협 화성|비비고썰은김치|식물성이물,success,159,-2362.121517382139,-2348.851715631351,artifacts\models\base_2021_2023\경기농협 화성_비비고썰은김치_식물성이물.pkl
경기농협 화성|비비고썰은김치|토사류,success,159,-2014.3586069615046,-2001.088805210717,artifacts\models\base_2021_2023\경기농협 화성_비비고썰은김치_토사류.pkl
경기농협 화성|비비고썰은김치|포장불량,success,159,-180.68874474489232,-167.4189429941047,artifacts\models\base_2021_2023\경기농협 화성_비비고썰은김치_포장불량.pkl
경기농협 화성|비비고포기김치|식물성이물,success,159,-2014.3586069615046,-2001.088805210717,artifacts\models\base_2021_2023\경기농협 화성_비비고포기김치_식물성이물.pkl
경기농협 화성|하선정포기김치|합성수지류,success,159,-2014.3586069615046,-2001.088805210717,artifacts\models\base_2021_2023\경기농협 화성_하선정포기김치_합성수지류.pkl
경기농협 화성|하선정포기김치|식물성이물,success,159,-2014.3586069615046,-2001.088805210717,artifacts\models\base_2021_2023\경기농협 화성_하선정포기김치_식물성이물.pkl
공주공장|가정용다담|편의,success,159,-180.6887442446676,-167.41894249387997,artifacts\models\base_2021_2023\공주공장_가정용다담_편의.pkl
경북과학대|다이어트|기타이물류,success,159,-2014.3586069615046,-2001.088805210717,artifacts\models\base_2021_2023\경북과학대_다이어트_기타이물류.pkl
공주공장|된장가정용|공정이물류,success,159,-107.90829055910076,-94.63848880831316,artifacts\models\base_2021_2023\공주공장_된장가정용_공정이물류.pkl
공주공장|가정용다담|포장불량,success,159,-177.03009817842317,-163.76029642763555,artifacts\models\base_2021_2023\공주공장_가정용다담_포장불량.pkl
공주공장|된장가정용|기타,success,159,-180.68874424176033,-167.4189424909727,artifacts\models\base_2021_2023\공주공장_된장가정용_기타.pkl
